Id,Label
龙庆仓,龙庆仓
猪圈头仓,猪圈头仓
顺义仓,顺义仓
黄崖口仓,黄崖口仓
大安口仓,大安口仓
永盈仓,永盈仓
汉儿庄仓,汉儿庄仓
青山营仓,青山营仓
古北口仓,古北口仓
广丰仓,广丰仓
广有仓,广有仓
太平寨仓,太平寨仓
蓟州预备仓,蓟州预备仓
刘家口仓,刘家口仓
台头营仓,台头营仓
石门寨仓,石门寨仓
黄土岭仓,黄土岭仓
石匣仓,石匣仓
熊儿谷仓,熊儿谷仓
将军营仓,将军营仓
马兰谷仓,马兰谷仓
罗文谷仓,罗文谷仓
洪山口仓,洪山口仓
喜峰口仓,喜峰口仓
三屯营仓,三屯营仓
广储仓,广储仓
广积仓,广积仓
五重安仓,五重安仓
蓟州仓,蓟州仓
建昌营仓,建昌营仓
燕河营仓,燕河营仓
界岭口仓,界岭口仓
山海仓,山海仓
丰盈仓,丰盈仓
广盈仓,广盈仓
怀柔县,怀柔县
密云县,密云县
平谷县,平谷县
蓟县,蓟县
遵化市,遵化市
迁西县,迁西县
迁安县,迁安县
卢龙县,卢龙县
抚宁县,抚宁县
山海关区,山海关区
延庆,延庆
昌平,昌平
门头沟,门头沟
顺义,顺义
一片石,一片石
大毛山,大毛山
义院口,义院口
界岭口,界岭口
青山口下,青山口下
桃林口,桃林口
冷口,冷口
擦崖子,擦崖子
榆木岭,榆木岭
董家口,董家口
大喜峰口,大喜峰口
龙井儿,龙井儿
洪山口,洪山口
罗文峪,罗文峪
大安口下,大安口下
宽佃峪,宽佃峪
黄崖口,黄崖口
将军营,将军营
镇虔营,镇虔营
墙子岭,墙子岭
曹家寨,曹家寨
古北口,古北口
潮河川,潮河川
白马关,白马关
石塘岭,石塘岭
灰岭口,灰岭口
八达岭,八达岭
石峡峪,石峡峪
渤海口,渤海口
黄花镇,黄花镇
白羊口,白羊口
长城谷,长城谷
横岭口,横岭口
镇边城,镇边城
山海关,山海关
南海口关,南海口关
南水关,南水关
北水关,北水关
旱门关,旱门关
角山关,角山关
滥水关,滥水关
寺儿谷,寺儿谷
三道关,三道关
牛头海口营城堡,牛头海口营城堡
一片石关,一片石关
吾名口,吾名口
大青山关,大青山关
西阳口,西阳口
大安口,大安口
黄土岭关,黄土岭关
庙山口,庙山口
义院口关,义院口关
炕儿谷,炕儿谷
平顶谷堡,平顶谷堡
水门寺堡,水门寺堡
城子谷堡,城子谷堡
柳河卫堡,柳河卫堡
董家口堡,董家口堡
大毛山堡,大毛山堡
小毛山堡,小毛山堡
娃娃谷堡,娃娃谷堡
小河口堡,小河口堡
甘泉堡,甘泉堡
温泉堡,温泉堡
孤石谷堡,孤石谷堡
柳罐谷堡,柳罐谷堡
苇子谷堡,苇子谷堡
细谷口堡,细谷口堡
花场谷堡,花场谷堡
拿子谷堡,拿子谷堡
板场谷堡,板场谷堡
长谷口堡,长谷口堡
黄土岭营城堡,黄土岭营城堡
长谷驻操营城堡,长谷驻操营城堡
石门寨营城堡,石门寨营城堡
平山营城堡,平山营城堡
驸马寨营城堡,驸马寨营城堡
青山口,青山口
界岭口关,界岭口关
箭杆岭关,箭杆岭关
乾涧儿口,乾涧儿口
重峪口关,重峪口关
罗汉洞,罗汉洞
中桑堡,中桑堡
星星谷堡,星星谷堡
梧桐谷堡,梧桐谷堡
东胜寨,东胜寨
台头营城堡,台头营城堡
赤洋海口营城堡,赤洋海口营城堡
界岭口营城堡,界岭口营城堡
桃林口关,桃林口关
刘家口关,刘家口关
冷口关,冷口关
徐流口关,徐流口关
河流口关,河流口关
白道子关,白道子关
石门子口,石门子口
佛儿谷寨,佛儿谷寨
孤窑儿寨,孤窑儿寨
正水谷寨,正水谷寨
燕河营城堡,燕河营城堡
桃林营城堡,桃林营城堡
刘家营城堡,刘家营城堡
新桥海口营城堡,新桥海口营城堡
徐流营城堡,徐流营城堡
建昌营城堡,建昌营城堡
白羊峪关,白羊峪关
榆木岭关,榆木岭关
五重安关,五重安关
洪峪口关,洪峪口关
擦崖子关,擦崖子关
城子谷关,城子谷关
新开岭堡,新开岭堡
澜柴沟堡,澜柴沟堡
大岭寨,大岭寨
五重安营城堡,五重安营城堡
太平寨营城堡,太平寨营城堡
铁门关,铁门关
大喜峰口关,大喜峰口关
小喜峰口关,小喜峰口关
青山口关,青山口关
董家口关,董家口关
逰乡口关,逰乡口关
胜岭寨,胜岭寨
横山寨,横山寨
团亭寨,团亭寨
石梯子谷寨,石梯子谷寨
椴木谷寨,椴木谷寨
李家谷寨,李家谷寨
青山驻操营城堡,青山驻操营城堡
滦阳营城堡,滦阳营城堡
龙井儿关,龙井儿关
沙坡峪关,沙坡峪关
苏郎峪关,苏郎峪关
三台山关,三台山关
西常峪关,西常峪关
东常峪关,东常峪关
潘家口关,潘家口关
于家峪关,于家峪关
洪山口关,洪山口关
山寨峪关,山寨峪关
廖家峪关,廖家峪关
马蹄峪关,马蹄峪关
罗文峪关,罗文峪关
椂八谷寨,椂八谷寨
张家安寨,张家安寨
三道岭寨,三道岭寨
白枣谷寨,白枣谷寨
西安谷寨,西安谷寨
山口寨,山口寨
猫儿谷寨,猫儿谷寨
秋科谷寨,秋科谷寨
蔡家谷寨,蔡家谷寨
捨身谷寨,捨身谷寨
天胜寨,天胜寨
