Source,Target,Type,Label
城墙,先秦,有向的,初置时间
空心敌台,隆庆,有向的,初置时间
墙台,明朝,有向的,初置时间
烽火台,先秦,有向的,初置时间
关城,明朝,有向的,初置时间
镇城,明朝,有向的,初置时间
路城,明朝,有向的,初置时间
卫城,洪武,有向的,初置时间
所城,明朝,有向的,初置时间
堡城,明朝,有向的,初置时间
炮墙,明朝,有向的,初置时间
传烽厂,明朝,有向的,初置时间
战台,明朝,有向的,初置时间
实心敌台,明朝,有向的,初置时间
九眼楼,明朝,有向的,初置时间
瓮城,汉朝,有向的,初置时间
边墙,明朝,有向的,初置时间
箭楼,正统,有向的,初置时间
角楼,先秦,有向的,初置时间
屯堡,洪武,有向的,初置时间
千斤闸,正统,有向的,初置时间
黄松峪长城,平谷县,有向的,所在区县
红石门长城,平谷县,有向的,所在区县
将军关长城,平谷县,有向的,所在区县
四座楼风景区,平谷县,有向的,所在区县
司马台长城,密云县,有向的,所在区县
蟠龙山长城,密云县,有向的,所在区县
古北口长城,密云县,有向的,所在区县
卧虎山长城景区,密云县,有向的,所在区县
云蒙山长城遗址公园,密云县,有向的,所在区县
五座楼森林公园,密云县,有向的,所在区县
白岭关长城风景区,密云县,有向的,所在区县
白道峪风景旅游区,密云县,有向的,所在区县
桃源仙谷风景名胜区,密云县,有向的,所在区县
天云山风景区,密云县,有向的,所在区县
慕田峪长城,怀柔县,有向的,所在区县
青龙峡景区,怀柔县,有向的,所在区县
黄花城水长城,怀柔县,有向的,所在区县
神堂峪长城,怀柔县,有向的,所在区县
摩崖石刻自然风景区,怀柔县,有向的,所在区县
鳞龙山自然风景区,怀柔县,有向的,所在区县
箭扣长城,怀柔县,有向的,所在区县
响水湖长城风景区,怀柔县,有向的,所在区县
河防口长城,怀柔县,有向的,所在区县
八达岭残长城自然风景区,延庆,有向的,所在区县
八达岭水关长城,延庆,有向的,所在区县
八达岭长城,延庆,有向的,所在区县
石峡关残长城,延庆,有向的,所在区县
九眼楼长城景区,延庆,有向的,所在区县
百里山水画廊,延庆,有向的,所在区县
北京结点山,延庆,有向的,所在区县
龙泉峪长城,延庆,有向的,所在区县
居庸关长城景区,昌平,有向的,所在区县
黄楼洼,昌平,有向的,所在区县
灵山自然风景区,门头沟,有向的,所在区县
山海关景区,山海关区,有向的,所在区县
角山长城,山海关区,有向的,所在区县
老龙头,山海关区,有向的,所在区县
黄崖关长城,蓟县,有向的,所在区县
界岭口城堡,抚宁县,有向的,所在区县
青山关景区,迁西县,有向的,所在区县
九门口长城,山海关区,有向的,所在区县
黄松峪长城,桑,有向的,野生植物
黄松峪长城,山楂,有向的,野生植物
黄松峪长城,油松,有向的,野生植物
黄松峪长城,荆条,有向的,野生植物
红石门长城,荆条,有向的,野生植物
红石门长城,紫椴,有向的,野生植物
司马台长城,荆条,有向的,野生植物
司马台长城,紫椴,有向的,野生植物
司马台长城,蒙古栎,有向的,野生植物
司马台长城,胡桃楸,有向的,野生植物
司马台长城,油松,有向的,野生植物
古北口长城,板栗,有向的,野生植物
慕田峪长城,荆条,有向的,野生植物
慕田峪长城,紫椴,有向的,野生植物
慕田峪长城,蒙古栎,有向的,野生植物
慕田峪长城,胡桃楸,有向的,野生植物
慕田峪长城,油松,有向的,野生植物
黄花城水长城,板栗,有向的,野生植物
神堂峪长城,毛樱桃,有向的,野生植物
神堂峪长城,山葡萄,有向的,野生植物
神堂峪长城,榛,有向的,野生植物
神堂峪长城,油松,有向的,野生植物
神堂峪长城,板栗,有向的,野生植物
神堂峪长城,桑,有向的,野生植物
八达岭长城,荆条,有向的,野生植物
