边镇名:ID,别名,历史简介,管辖的长城沿线范围,总兵驻地所在地,全长,军数（永乐）,军数（万历）,马匹数（永乐）,马匹数（万历）,设置时间,:LABEL
辽东镇,辽东,其地域西、南、东南濒临渤海、黄海和鸭绿江，西起山海关外芝麻湾，东至鸭绿江共“千三百余里”，由于“岛夷、倭夷，在在出没，故海防亦重”。设有卫、所、堡等屯兵城，称之为海防防御系统。,南起凤凰城，西至山海关,辽宁省辽阳市,1950多里,94693,83340,77001,41830,永乐初年,九边十一镇
宣府镇,宣府,明朝建都北京之后，宣府镇更是保卫京都，防御蒙古族南下的咽喉之地。,东起居庸关的四海冶，西至西洋河(在山西大同东北）,河北省宣化市,1023里,151452,79258,55274,33147,永乐三年,九边十一镇
大同镇,,辖八卫、七所、五百八十三堡。明初在此置卫屯田，为京师之西北屏障。,东起镇口台(山西天镇东北)，西至鸦角山(也叫丫角山，今山西偏关东北）,山西省大同市,647里,135778,85311,51654,35870,永乐初年,九边十一镇
延绥镇,榆林镇,延绥镇为明朝九边重镇之一，也是明朝与蒙古人交战最频繁的地区之一。为了防备蒙古军的入侵，明朝政府曾先后在延绥镇一带数次大规模的修筑长城。,东起清水营(今内蒙古清水县附近)，西至花马池(今宁夏盐池县）,陕西省榆林市,1760里,80196,53254,45940,32133,永乐初年,九边十一镇
宁夏镇,,宁夏镇城所据，贺兰山环其西北，黄河在东南，险固可守。黄河绕其东，贺兰耸其西，西北以山为固，东南以河为险,东起大盐池(今宁夏盐池县境)，西至兰靖(今甘肃高兰、靖远),宁夏银川市,2000多里,71693,27934,22182,14657,永乐初年,九边十一镇
甘肃镇,,所辖边墙东起景泰县黄河岸，另有一分支起自兰州市北河岸，北到景泰县西北境会合成一线，斜向西北，经民勤、永昌、山丹、张掖、高台、酒泉诸县境，又绕过嘉峪关市向南，抵达祁连山北麓而止。,东起甘肃金城(今兰州市)，西至嘉峪关,甘肃省张掖市,1600多里,91571,46901,29318,21660,洪武二十七年,九边十一镇
山西镇,太原镇、三关镇,山西镇边在大同镇边之后，起着支撑加固大同镇边，阻敌深入的作用。,东起山西保德黄河岸，经偏关、老营堡、雁门关、平型关、固关而达黄榆岭,山西省偏关市,1600多里,25287,55295,6551,24764,宣德四年,九边十一镇
固原镇,,五路：下马关路、靖虏路、兰州路、河州路、芦塘路。军堡 35 个，关口约 10个。,东起陕西省靖边与榆林镇相接，西达皋兰与甘肃镇相接,宁夏固原县,1000里,126919,90412,32250,33842,弘治十四年,九边十一镇
蓟镇,蓟镇长城又分为三大部分，即蓟州镇、昌镇、真保镇。,其所辖的长城非常坚固，靠近居庸关一带的城墙有三层之多，是现存遗迹中保存最完整的一段。,东起山海关，西至居庸关的灰岭口,河北省唐山市迁西县三屯营,1200多里,85006,124206,21830,40224,,九边十一镇
昌镇,,由参将三人分三路镇守，为:黄花镇、居庸关、横岭口。,东自慕田峪连石塘路蓟州界， 西抵居庸关边城， 接紫荆关真保镇界， 延袤四百六十里。,北京市昌平居庸关城,460里,,,,,,九边十一镇
真保镇,狼牙口,,界自紫荆关沿河口，连昌镇边界，西抵故关鹿路口，接山西平定州界,山西省大同市,780里,,,,,,九边十一镇
