分路名:ID,关堡寨,边城里数,附墙台,空心敌台,:LABEL
一片石,8,23,7,36,分路
大毛山,9,20,22,34,分路
义院口,11,18,6,48,分路
界岭口,5,42,19,64,分路
青山口下,5,44,5,40,分路
桃林口,5,27,15,41,分路
冷口,5,38,19,60,分路
擦崖子,6,47,5,45,分路
榆木岭,3,23,4,24,分路
董家口,4,28,/,25,分路
大喜峰口,7,34,/,15,分路
龙井儿,8,50,4,44,分路
洪山口,5,20,3,44,分路
罗文峪,10,63,11,64,分路
大安口下,7,28,/,85,分路
宽佃峪,6,27,/,39,分路
黄崖口,7,60,/,12,分路
将军营,5,69,/,18,分路
镇虔营,5,145,/,10,分路
墙子岭,6,86,/,69,分路
曹家寨,22,164,/,58,分路
古北口,9,35,1,84,分路
潮河川,9,92,/,27,分路
白马关,11,155,/,36,分路
石塘岭,12,92,3,59,分路
灰岭口,,26,7,/,分路
八达岭,,24,4,43,分路
石峡峪,,16,10,25,分路
渤海口,,81,4,44,分路
黄花镇,,55,2,29,分路
白羊口,,11,3,19,分路
长城谷,,15,1,23,分路
横岭口,,31,3,28,分路
镇边城,,21,5,32,分路
