村名:ID,简介,:LABEL
柏峪村,在这里爨（川）底下、灵水等中国历史文化名村吸引着四方来客，崇山峻岭之间还散落着桑峪、西胡林、杨家峪、马栏等，柏峪村与它们一起，构成了璀璨夺目的京西古村落群。,市级民俗文化旅游村
黄岭西村,黄岭西村曾是斋堂镇的重点产煤村之一，煤炭开采业是村中的主导产业。黄岭西幽静自然、物产丰富、文化内涵丰富。现已开发以回归记忆、体验民俗生活为内容的古山村旅游项目。,市级民俗文化旅游村
碣石村,现存一级古槐2棵，二级古槐1棵；二级油松9棵72；二级古柏2棵。72眼古井交错分布在村中各处，造型富于变化，风格各异。院中各种陈设雕饰都保持着古朴风格，石雕题字随处可见，具有浓厚的古风韵致。还有重修圣泉寺碑一座、龙王庙一座。高家坟出土的金代定窑花碗碟、十二生肖的铜镜等。,市级民俗文化旅游村
洪水口村,位于首都屋脊灵山脚下，是通往灵山的要道口，是京城海拔最高的村庄之一，村旁有一条古道直通灵山顶。围绕旅游产业，先后搞起了运输合作社、养殖合作社、农家乐旅游合作社等股份制企业，成了远近闻名的“股份村”。修建了仿古式门楼，村民院落、大街小巷石板铺地，建公园，修塘坝，打造旅游休闲景观，还集资修复了灵山古道，游人步行12公里即可登顶海拔2303米的灵山主峰。,市级民俗文化旅游村
江水河村,游资源十分丰富，素有北京“小西藏”之称。可供游人游览的景点：灵山主峰、九龙洼、原始森林、天然草甸、索道、滑索、骑马游览、季节性采摘野果、牦牛观赏。同时可以举办篝火晚会,市级民俗文化旅游村
天龙潭村,以龙潭村为中心，响潭水库、龙潭水库、龙潭山庄、龙潭公园及3000亩森林。青山叠翠、山泉淙淙、怪石林立、是集垂钓、踏青、登山、野炊等多种休闲活动于一体的旅游区。,市级民俗文化旅游村
羊台子民俗村,南临水清镜明的响潭水库，东被居庸关长城所环抱，西有国有防护林，植被覆盖率85%以上,市级民俗文化旅游村
花塔村,以红沙岭隧道与外界相连，村内的苹果树、桃树、核桃、花椒树随处可见，这里还是青檀木的盛产地。进村隧道外有三座保存完好的砖包敌楼-牛帮口敌楼。,市级民俗文化旅游村
将军关村,将军关新村特色饮食“将军栗子宴”,市级民俗文化旅游村
红石门村,果树资源丰富、柿子采摘,市级民俗文化旅游村
雕窝村,三面环山一面环水、特色菜品烤全羊、7座画院，文化氛围浓厚,市级民俗文化旅游村
梨树沟村,山村野景、柿子采摘,市级民俗文化旅游村
塔洼村,环境宜人、农家饭、果树采摘,市级民俗文化旅游村
大东沟村,生态型新农村，花园式村庄，休闲农业观光,市级民俗文化旅游村
太后村,以杂粮煎饼和烧鸽子为主要特色,市级民俗文化旅游村
东四道岭村,特色民居小院、农业观光采摘园,市级民俗文化旅游村
玻璃台村,自然风景优美、以玻璃树叶为主的玻璃宴,市级民俗文化旅游村
张家台村,农家院、观光园、泉眼1眼，常年有水,市级民俗文化旅游村
庄户村,林果业发达，主产苹果、大扁、板栗等，是植被丰密、历史人文景观众多之地,市级民俗文化旅游村
苇店民俗村,以板栗种植为主，垂钓、烧烤等民俗旅游为辅,市级民俗文化旅游村
三岔村,四面环山，山高林密、小河流水，周围具有良好的生态环境,市级民俗文化旅游村
官地村,极具历史风貌的民居群落，并且大部分保存完好,市级民俗文化旅游村
莲花池村,相传萧太后曾于此植莲。池中原有常年恒温泉水，五十年代扩挖，却致池水干涸，今成空池，民俗文化旅游，歌舞演唱文化丰富,市级民俗文化旅游村
石片村,“虹鳟鱼一条沟”内，自然风景优美，植被覆盖率达90%以上，夏季空气凉爽宜人，休闲、度假,市级民俗文化旅游村
花园村,村内林木覆盖面积占村域面积的90%，我村经济以民俗、养殖、种植业主,市级民俗文化旅游村
河东村,古御道为主，民俗村,市级民俗文化旅游村
河西村,自然环境优美，人文景观丰富，村内有吕祖庙、清真寺、提督府，参将衙门，守备衙门，校军场，点将台，驻军众多景观,市级民俗文化旅游村
东沟村,景点有老象峰风景区。村内空气清新，植被丰厚，山秀水美，森林覆盖率达到90%，可以游览“世外桃源”的奇特景色，采摘野菜瓜果等,市级民俗文化旅游村
石佛寺村,地势平坦，潮土地。主产棉花、小麦、杂粮等,市级民俗文化旅游村
东小河屯村,"东邻龙庆峡，北靠古崖居，西傍官厅湖畔，南眺康西草原，环境优美，气候宜人，有天然“氧吧”之美誉。先后推出“乡下有我一分田”主题耕作休闲基地、延庆传统婚宴“八八席”,备受市民的青睐。",市级民俗文化旅游村
