年代名:ID,起止时间,:LABEL
先秦,-前221年,朝代
秦朝,前221年-前207年,朝代
汉朝,前202年-220年,朝代
三国,220年-280年,朝代
西晋,266年-316年,朝代
东晋,317年-420年,朝代
南北朝,386年-589年,朝代
隋朝,581年-618年,朝代
唐朝,619年-907年,朝代
五朝十国,907年-979年,朝代
宋朝,960年-1279年,朝代
辽,916年-1125年,朝代
元朝,1271年-1368年,朝代
明朝,1368年-1644年,朝代
洪武,1368年-1398年,年号
建文,1398年-1402年,年号
永乐,1402年-1424年,年号
洪熙,1424年-1425年,年号
宣德,1425年-1435年,年号
正统,1435年-1449年,年号
景泰,1449年-1457年,年号
天顺,1457年-1464年,年号
成化,1464年-1487年,年号
弘治,1487年-1505年,年号
正德,1505年-1521年,年号
嘉靖,1521年-1566年,年号
隆庆,1566年-1572年,年号
万历,1572年-1620年,年号
泰昌,1620年,年号
天启,1620年-1627年,年号
崇祯,1627年-1644年,年号
弘光,1644年-1645年,年号
后金,1616年-1636年,朝代
清朝,1636年-1912年,朝代
康熙,1661年-1722年,年号
雍正,1722年-1735年,年号
乾隆,1735年-1795年,年号
咸丰,1850年-1861年,年号
光绪,1874年-1908年,年号
