建筑名:ID,别名,历史简介,:LABEL
城墙,边墙、横墙,古代军事防御设施，由墙体和其它辅助军事设施构成的军事防线。,建筑
空心敌台,,"今建空心敌台,尽通人马,冲处堵塞,其制高三、四丈不等,周围阔十二丈,有十七、八丈不等者,骑墙而立,下筑基与墙平,中层空豁,四面箭窗,上层建楼槽,环以垛口,内卫战卒。",建筑
墙台,墩台、敌台、马面,为城墙向外凸出墙体部分用以三面防敌的建筑，是在城墙全线防御的基础上构筑的重点防御设施。,建筑
烽火台,烽墩、墩台、墩堠、烽墩、烽燧、狼烟台,烽墩主要是接应墙外的暗哨，发现敌人后举砲，是传递军事情报的建筑物，,建筑
关城,关口、关隘、主城门,卫城是卫一级的指挥驻地。路城是路的指挥驻地。所城是千户所一级的指挥驻地。营城和寨城是专为屯兵和操练军队所设置的城池，多建于明代中前期，城址选择在长城内侧距离长城较远的依山傍河之处，利于防守，方便士兵生活。堡城是最基层单位的屯兵城，即千户所的下一级军事单位百户驻防的辖区。关城是长城防御体系的重要组成部分，是出入长城的重要交通枢纽，也是储备粮草、屯驻士兵的关防重地。,建筑
寨堡,,为军防所用,建筑
镇城,,这类城池的等级是最高的，并且驻守兵力也是最多的。九边重镇体系中的核心组成部分，还拥有着经济的功能。,建筑
路城,,等级低于镇城的城池，是镇城下属的各路参将或者分守所驻之地。主要是负责管理下属各堡城的日常防务工作。,建筑
卫城,卫所,驻兵的城池。统领管理下属的各所城。城内可以驻扎大量兵力，可以囤积大量的粮饷。,建筑
所城,,屯兵。根据规模的不同，有千户所和百户所之分。,建筑
堡城,,长城防御体系中最基础的组成部分，规模小，驻扎人数数人到数十人不等。,建筑
炮墙,炮台,"炮墙是建在敌台外侧底部,一面靠台,三面呈“]”形,墙内平扩,墙正面底部有二个洞口,两侧墙底部各有一个洞口,按敌台阔三丈比例计算,洞经约有二市尺左右,这应是置炮口,上部还有小洞八个排列于三面墙的中间,根据置洞情况判断,墙中小洞应是设置枪、铳的洞口。",建筑
传烽厂,传烽厂房、传烽墩,"为挑檐房屋一间,旁立烽杆五根,杆间各有一园亭,每烽编有号数,每路自一号起以次编列至本路界止。",建筑
战台,,通常构筑在城墙里边附近有利于作战的制高点上，能居高临下，支援长城线上的作战。在与城墙之间，以战墙连接，掩护战台和突入城墙之敌进行战斗。,建筑
便门,腹里门,建筑物的旁门或主要大门的副门。,建筑
实心敌台,三眼楼、四眼楼等,实心敌台不是齐墙而建，无箭窗，仅有登台顶的踏道。,建筑
敌楼,谯楼,供各段城守部队进行指挥瞭望传令，放置器械物资等，平时则供守城军士巡逻者遮风避雨休息之用，属于一种增强城墙防御的设施。,建筑
女墙,女儿墙、宇墙、垛墙、埤堄、雉堞,用于城顶防护和御敌屏障，是古代城墙必备的传统防御建筑。,建筑
垛口,射洞,泛指城墙上呈凹凸形的短墙。,建筑
碑刻,,包括摩崖石刻、官员碑、记事碑、砖文碑、敌台碑、边墙碑、粮饷碑、关碑等,建筑
九眼楼,,万里长城之上建筑规模最大、规格最高的敌楼,建筑
墙帽,压顶、兀脊石,位于宇墙、女儿墙、护身墙等矮小墙体的帽部位。,建筑
瓮城,罗城,在城门外（亦有在城门内侧的特例）修建的半圆形或方形的护门小城，属于中国古代城市城墙的一部分。,建筑
马道,,建于城台内侧的漫坡道，左右对称，用于运兵、粮草和武器。,建筑
边墙,边壕岭,边墙是指西起和龙市土山镇，向东绵亘150余公里，终止于图们市长安镇鸡林山的防御性墙垣。,建筑
箭楼,正阳门箭楼、前门箭楼,位于崇文区西北部，前门大街北端，系北京城中轴线天安门南端的重要建筑之一。于1988年1月31日被国务院列为全国重点文物保护单位。,建筑
角楼,,建在角台上的阁楼建筑，是城墙防御工程的重要组成设施，起瞭望和防御作用。,建筑
亭候,烽堠、墩堠、瞭望台、瞭望塔、望楼、监视塔,边境上用以瞭望和监视敌情的岗亭、土堡。,建筑
屯堡,,在贵州省安顺市西秀区以及平坝区、镇宁县一带，居住着20余万特殊的人群。,建筑
千斤闸,正阳门箭楼千斤闸开关闸,正阳门箭楼千斤闸始建于明朝初期，闸门为铁皮包实木，布满加固铁钉，闸门宽6米，高约6.5米，厚度9厘米，质量计算约1990公斤。开闸时，闸门升至门洞以上城台内闸槽中；关闸时，闸门从闸槽中平稳落下，形成一道“牢不可破”的屏障。,建筑
壕堑,护城河、城堑、壕沟,,建筑
附墙台,,,建筑
