事件名:ID,时间,结果,简介,:LABEL
靖难之役,建文元年（1399年）到建文四年（1402年）,建文四年（1402年）六月十三，燕军攻入金陵，江山易主。朱棣即位，是为明成祖。,明太祖朱元璋在位时把儿孙分封到各地做藩王，藩王势力日益膨胀。因太子朱标早逝皇太孙朱允炆继位，是为建文帝。建文帝采取一系列削藩措施准备削除燕王朱棣。朱棣于建文元年（1399年）起兵反抗，随后挥师南下，史称“靖难之役”。朱棣适时出击，灵活运用策略，经几次大战消灭南军主力，最后乘胜进军，于建文四年（1402年）攻下帝都应天（今南京）。,战争事件
庚戌之变,嘉靖二十九年（1550年）,鞑靼军焚掠后退走,鞑靼首领俺答汗因对明朝“贡市”不遂而发动的战争。兵部尚书丁汝夔会严嵩意，戒诸将勿轻举。诸将皆坚壁不战，不发一矢。于是俺答兵在城外自由焚掠，凡骚扰八日，于饱掠之后，得到明朝通贡的允诺，仍由古北口退去。,战争事件
土木之变,正统十四年（1449年）,英宗被俘，蓟镇长城亦遭到瓦剌也先部的破坏。景帝即位后，下令修复长城。,明朝正统十四年（1449年9月1日）第四次明英宗北伐时，朱祁镇因情报失灵兵败瓦剌的事变。,战争事件
隆庆和议,隆庆四年（1570年）,隆庆和议结束了明朝与蒙古近二百年的敌对状态。,隆庆五年（1571年），明朝与俺答达成了封王、通贡和互市的协议。明朝封俺答为顺义王，开放十一处边境贸易口岸，使蒙古人能通过贸易获得中国资源。,战争事件
萨尔浒之战,明万历四十七年（1619年）,萨尔浒大战以后金全胜、明军大败而结束。,萨尔浒之战中，明军集结全国精锐20万和朝鲜等军队，号称47万大军，向辽东发起进攻，兵分四路进军。后金方面，努尔哈赤集中兵力进攻一路，以消灭敌人有生力量为主。5天之内连破三路明军，歼灭明军约5万人，缴获大量军用物资，明军除行动迟缓的李如柏一路败退幸存外，其余几路被后金全歼。此战役是明清战争史上一个重要的转折点，是明清兴亡史上一次具有决定性意义的战争，是以少胜多的典型战例。,战争事件
调北征南,洪武十四年（1381年）,明朝夺得并巩固了对西南的统治,朱元璋调派其正在北方与北元作战的傅友德、沐英等将领挥军南下，与蓝玉率领三十万大军征战云贵西南地区，意图消灭元朝梁王把匝剌瓦尔密的势力，夺取对西南的统治权。第二年，占领了云贵。沐英及数十万明朝官兵留下驻守西南。,战争事件
金辽战争,辽,金朝获胜,金辽战争是指中国金朝建立前一年至金朝天会三年（辽朝天庆四年至保大五年，1114～1125年），在中国东北部兴起的女真族，起兵反抗直至攻灭辽朝的战争。,战争事件
京师保卫战,正统十四年（1449年）,瓦剌军退出塞外，京师解严,明军主力在土木堡遭遇惨败，明英宗也被俘，土木之变使明王朝遇到严重的危机。于谦、陈循、王直主张保卫京师为天下根本。于谦临危受命，任兵部尚书。朱祁钰即帝位。于谦、石亨率军与瓦剌军战于德胜门外，瓦剌军大败。随后又多次转战进攻明军，皆被明军击退。到十一月八日，瓦剌军退出塞外，京师解严。于谦和主战派官员领导和组织的京师保卫战，取得了胜利，粉碎了瓦剌军企图夺取北京的野心，明王朝转危为安。,战争事件
潘家口之战,嘉靖三十八年,鞑靼军攻下蓟镇多地，饱掠以后由潘家口退出长城。,鞑靼部的首领锡林阿，用声东击西的办法先攻蓟镇东部的义院口和冷口，蓟辽总督王抒调兵东进，鞑靼兵趁中部守军势弱之机，集中兵力攻破潘家口，渡过滦河抵三屯营，继而西掠遵化、丰润、玉田、蓟州等地，待东援部队西顾时，鞑靼军又向东攻下迁安等地，饱掠以后由潘家口退出长城。,战争事件
洪山口之战,崇祯二年,后金皇太极攻下蓟镇多关口，后从冷口退出长城。,后金皇太极攻蓟镇的龙井关、大安口、洪山口，陷遵化，继续西进下三河、通州，直逼京师城下，攻打德胜门、广渠门、芦沟桥、永定门，京师危机，后金诸将纷纷要求攻下北京，皇太极认为明军还有实力，时机尚未成熟，遂挥师东进陷香河，迁安、滦州、永平四城，从冷口退出长城。,战争事件
昌平之战,崇祯九年,皇太极掠多地后退走,皇太极十万大军破独石口，入居庸关，直奔昌平，遍蹂京畿，掠良乡、顺义、清河、怀柔、宝坻、房山、涿州、永清等城，九月从冷口退回。 ,战争事件
清河城之战,明万历四十六年(后金天命三年，1618年)七月,努尔哈赤大败守将邹储贤部 ,此战，明军放弃城外有利地势，婴城固守，孤军奋战而败；后金抓住战机，掘城强攻取胜。城内明军官兵6400多人及500多户居民奋起巷战，被杀万计，而无人投降。,战争事件
古北口抗战,1933年3月10日到5月14日,因国民党政府奉行对日妥协政策而告失败，但他们悲壮的失败，使民众认识到了国民党政府对日妥协政策的误国。激励着千千万万的中国人走上抗日救国战场，用民族之魂和血肉之躯筑起坚不可摧的新长城。,360余名阵亡将士遗体合葬于古北口长城脚下，建古北口阵亡将士墓。,战争事件
