景区名:ID,景区级别及评定时间,地理位置,著名景点,景区简介,长度（或敌台数）,管理单位,:LABEL
黄松峪长城,,平谷黄松峪村,湖洞水、千佛崖、天云山、百帝宫、明长城遗址,作为明清时期长城线上的重要关口，古村依长城而建，东南西三面均建有石城墙，城南建有门楼，由青砖砌筑而成，甚是雄伟。,4500米，敌台4座,林业部门,景区
红石门长城,,北京市平谷区,,国务院1996年所立的天津界、河北界、北京界三界碑位于红石门长城的第一座敌台上，红石门长城段更是因为三省交界的特殊地理位置被市政府列为修缮与利用的重点。,,,景区
将军关长城,,北京市平谷区靠山集乡将军关村,,将军关又名将军石关，位于平谷县靠山集乡将军关村，是万里长城北京段最东端的一个关口。将军关建于明代，正关上有3层敌楼，内墙有券门可出入，门南为演武场，正关东侧是水关。现存水关东侧一座敌楼台基和一段城垣。城内有一柱形巨石，高10米有余，称“将军石”。将军关，位于金海湖镇将军关村内，西邻胡陡路，是明代长城进入北京东侧的第一座重要关口，也是目前平谷区保存状况最好的关城。其东与天津蓟县接壤，北与河北兴隆毗邻。将军关关城建于明永乐年间（1403-1424），历史上为咽喉要塞，是兵家必争之地。将军关大部分建筑已毁，现仅存关城东侧敌台遗址，关城两侧连接的长城是平谷区唯一一处以砖作为墙体建筑材料的长城段。,,,景区
四座楼风景区,区级文物保护单位,于平谷区熊儿寨乡,鸡冠崖、百灵沟、登基晚、漫石沟、按吻峰、子母石等,因山顶上有四座明代长城敌楼(现尚存两座)而得名。,,,景区
司马台长城,4A、2005年,北京市密云区北部的古北口镇司马台村北,望京楼、鸳鸯湖、猫眼楼、仙女楼,司马台长城位于北京市东北部密云区北部的古北口镇司马台村北，紧邻古北水镇，距离北京120公里，属燕山山脉，司马台长城依险峻山势而筑，并以险、密、齐、巧、全五大特点著称于世。司马台长城东起望京楼，西至后川口，全长5.7公里，其中鸳鸯湖水库将该长城分为东西两段。东段有敌楼16座，西段有敌楼19座，共计35座（包括已毁水中一座）。1987年司马台长城被列入世界遗产名录，是我国唯一保留明代原貌的古建筑遗址，被联合国教科文组织确定为“原始长城”。,5400米，敌台30座，烽火台2座,司马台雾灵山国际休闲度假区管理委员会,景区
蟠龙山长城,,北京市密云区古北口镇口北口村,七郎坟、令公庙、琉璃影壁靠大道、一步三眼井、两步三座庙,蟠龙山长城风景区位于具有燕京门户之称的密云古北口镇，建于1680年的古御道镇域内长城由卧虎山长城、蟠龙山长城、司马台长城组成。,5200米，敌台19座,村镇,景区
古北口长城,,北京市密云区古北口镇古北口村,二十四眼楼，将军楼，水楼水关遗迹等,古北口长城是中国长城史上最完整的长城体系。由北齐长城和明长城共同组成，包括卧虎山、蟠龙山、金山岭和司马台4个城段。古北口是山海关、居庸关两关之间的长城要塞，为辽东平原和内蒙古通往中原地区的咽喉，历来是兵家必争之地，尤其是在辽、金、元、明、清这五朝，大大小小争夺古北口的战役从未停止过，因此长城的作用突显得尤为重要。,6612米,景区管委会（政府）,景区
卧虎山长城景区,,北京市密云古北口镇潮河西岸河西村,姐妹楼、扁形楼、圆形楼、半边楼、双垛口和“刀把楼”,卧虎山长城，位于北京市密云区古北口镇，始建于明朝洪武八年，全长4.75km，有敌楼134座，海拔665.22m，山势陡峭，故此尤显雄伟壮观。卧虎山山顶视野较司马台长城开阔，北有群山环抱，南有河流平川，东西长城起伏连绵，自成一色。,2330米，敌台16座,村镇,景区
云蒙山长城遗址公园,,北京市密云区石城镇王庄村,三道边楼、将军楼、四方楼等三座敌台及圆形烽火台，今又得称四座楼山。,云蒙山长城遗址公园距北京市区90余公里，东沿密云水库，西临云蒙山脉。公园地处云蒙山东缘，山形韶秀天成，宛延起伏，构思精巧，群峰突起，常隐于云雾之中，素有"北国黄山"之美誉。,2540米，敌台3座，烽火台1座,景区管委会（政府）,景区
五座楼森林公园,,北京市密云区密关路,,五座楼森林公园属于云蒙山系的东端，北接黑龙潭，距市区85公里，是密云水库环湖西路旅游线上的第一站。,,林业部门,景区
