名称:ID,:LABEL
斋堂镇,民俗镇
雁翅镇,民俗镇
妙峰山镇,民俗镇
清水镇,民俗镇
谭柘寺镇,民俗镇
王平镇,民俗镇
长陵镇,民俗镇
兴寿镇,民俗镇
小汤山镇,民俗镇
流村镇,民俗镇
崔村镇,民俗镇
北七家镇,民俗镇
南口镇,民俗镇
金海湖镇,民俗镇
黄松峪乡,民俗镇
大华山镇,民俗镇
熊尔寨乡,民俗镇
山东庄镇,民俗镇
王辛庄镇,民俗镇
镇罗营镇,民俗镇
南独河镇,民俗镇
大兴庄镇,民俗镇
刘家店镇,民俗镇
怀柔镇,民俗镇
宝山镇,民俗镇
汤河口镇,民俗镇
怀北镇,民俗镇
琉璃庙镇,民俗镇
渤海镇,民俗镇
桥梓镇,民俗镇
九渡河镇,民俗镇
喇叭沟门乡,民俗镇
雁栖镇,民俗镇
长哨营满族乡,民俗镇
石城镇,民俗镇
新城子镇,民俗镇
古北口镇,民俗镇
北庄镇,民俗镇
巨各庄镇,民俗镇
太师屯镇,民俗镇
溪翁庄镇,民俗镇
西田各庄镇,民俗镇
大城子镇,民俗镇
不老屯镇,民俗镇
千家店镇,民俗镇
八达岭镇,民俗镇
延庆镇,民俗镇
大庄科乡,民俗镇
珍珠泉乡,民俗镇
永宁镇,民俗镇
旧县镇,民俗镇
井庄镇,民俗镇
四海镇,民俗镇
张山营镇,民俗镇
大榆树镇,民俗镇
沈家营镇,民俗镇
爨底下村,民俗村
向阳口村,民俗村
火村,民俗村
马栏村,民俗村
高台村,民俗村
岭角村,民俗村
涧沟村,民俗村
炭厂村,民俗村
黄土台村,民俗村
水峪嘴村,民俗村
八亩堰村,民俗村
黄安坨村,民俗村
西达么村,民俗村
张家铺村,民俗村
赵家台村,民俗村
平原村,民俗村
东马各庄村,民俗村
韭园村,民俗村
麻峪房子民俗村,民俗村
黄泉寺村,民俗村
下口村,民俗村
碓臼峪村,民俗村
东水峪村,民俗村
康陵村,民俗村
德陵民俗村,民俗村
大岭沟村,民俗村
百合村,民俗村
西湖民俗村,民俗村
花果山民俗村,民俗村
湖门民俗村,民俗村
酸枣岭村,民俗村
长峪城村,民俗村
菩萨鹿村,民俗村
瓦摇村,民俗村
漆园村,民俗村
北照台村,民俗村
香堂村,民俗村
郑各庄村,民俗村
居庸关村,民俗村
白羊城民俗村,民俗村
真顺村,民俗村
黄草洼村,民俗村
海子村,民俗村
韩庄村,民俗村
黑水湾村,民俗村
郭家屯村,民俗村
鱼子山村,民俗村
苏子峪村,民俗村
挂甲峪村,民俗村
泉水峪村,民俗村
东辛撞村,民俗村
老泉口村,民俗村
北太平庄村,民俗村
井峪村,民俗村
北寨村,民俗村
淘金谷欢乐农家,民俗村
东山下村,民俗村
行宫村,民俗村
前吉山村,民俗村
北宅村,民俗村
新王峪村,民俗村
上王峪村,民俗村
卢庄村,民俗村
甘涧峪村,民俗村
超梁子村,民俗村
东帽湾村,民俗村
西庄村,民俗村
大水峪村,民俗村
椴树岭村,民俗村
河防口村,民俗村
后山铺村,民俗村
八宝堂村,民俗村
西湾子村,民俗村
青石岭村,民俗村
六渡河村,民俗村
慕田峪村,民俗村
北沟村,民俗村
田仙峪村,民俗村
西水峪村,民俗村
杏树台村,民俗村
石湖峪村,民俗村
孙栅子村,民俗村
苗营村,民俗村
中榆树店村,民俗村
神堂峪村,民俗村
七道梁正白旗村,民俗村
石城村,民俗村
石塘路村,民俗村
贾峪村,民俗村
张家坟村,民俗村
捧河岩村,民俗村
水堡子村,民俗村
黄土梁村,民俗村
遥桥峪村,民俗村
曹家路村,民俗村
司马台村,民俗村
苇子峪村,民俗村
南沟村,民俗村
达峪村,民俗村
双圣峪村,民俗村
龙潭沟村,民俗村
走马庄口门子村,民俗村
石马峪民俗村,民俗村
黑山寺村,民俗村
牛盆峪村,民俗村
大龙门村,民俗村
史庄子村,民俗村
河西村（秀水湾民俗度假村）,民俗村
长寿岭村,民俗村
古家窑村,民俗村
下湾村,民俗村
里炮村（红苹果度假村）,民俗村
岔道村,民俗村
石峡村,民俗村
下德龙湾村,民俗村
卓家营村,民俗村
水泉沟村（莲花缘度假村）,民俗村
香屯村,民俗村
汉家川河南村,民俗村
珍珠泉村,民俗村
水泉子村,民俗村
小川村,民俗村
上磨村,民俗村
盆窑村,民俗村
古城村,民俗村
柳沟村,民俗村
南湾村,民俗村
西大庄科村,民俗村
玉皇庙村,民俗村
韩郝庄,民俗村
东桑园村,民俗村
上花园村,民俗村
西王化营村,民俗村
